"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 02, 2015","95.83","95.41","95.98","95.41","0","0.40"
"Sep 01, 2015","95.45","95.93","95.93","95.19","0","-0.39"
"Aug 31, 2015","95.82","96.19","96.25","95.62","0","-0.30"
"Aug 28, 2015","96.11","95.76","96.32","95.38","0","0.52"
"Aug 27, 2015","95.61","95.19","96.03","94.98","0","0.54"
"Aug 26, 2015","95.10","93.96","95.44","93.72","0","0.60"
"Aug 25, 2015","94.53","93.38","94.69","93.49","0","1.29"
"Aug 24, 2015","93.33","94.86","94.96","92.62","0","-1.77"
"Aug 21, 2015","95.01","95.81","95.82","94.80","0","-1.01"
"Aug 20, 2015","95.98","96.45","96.58","95.71","0","-0.39"
"Aug 19, 2015","96.36","97.00","97.08","96.34","0","-0.70"
"Aug 18, 2015","97.04","96.84","97.07","96.68","0","0.24"
"Aug 17, 2015","96.81","96.56","96.94","96.51","0","0.30"
"Aug 14, 2015","96.52","96.37","96.67","96.09","0","0.08"
"Aug 13, 2015","96.44","96.34","96.81","96.12","0","0.19"
"Aug 12, 2015","96.26","97.18","97.33","95.93","0","-1.06"
"Aug 11, 2015","97.29","97.19","97.59","96.88","0","0.13"
"Aug 10, 2015","97.16","97.54","97.92","97.04","0","-0.41"
"Aug 07, 2015","97.56","97.79","98.33","97.51","0","-0.28"
"Aug 06, 2015","97.83","97.88","98.16","97.63","0","-0.13"
"Aug 05, 2015","97.96","97.92","98.22","97.64","0","0.03"
"Aug 04, 2015","97.93","97.48","98.00","97.21","0","0.45"
"Aug 03, 2015","97.49","97.22","97.58","97.16","0","0.15"
"Jul 31, 2015","97.34","97.47","97.60","96.31","0","-0.23"
"Jul 30, 2015","97.56","97.13","97.77","97.17","0","0.60"
"Jul 29, 2015","96.98","96.64","97.25","96.50","0","0.22"
"Jul 28, 2015","96.77","96.58","96.97","96.47","0","0.28"
"Jul 27, 2015","96.50","97.20","97.29","96.29","0","-0.76"
"Jul 24, 2015","97.24","97.19","97.62","97.12","0","0.13"
"Jul 23, 2015","97.11","97.45","97.51","96.89","0","-0.50"
"Jul 22, 2015","97.60","97.34","97.79","97.11","0","0.28"
"Jul 21, 2015","97.33","98.02","98.15","97.14","0","-0.71"
"Jul 20, 2015","98.03","97.93","98.15","97.73","0","0.17"
"Jul 17, 2015","97.86","97.66","97.98","97.42","0","0.19"
"Jul 16, 2015","97.67","97.13","97.76","97.17","0","0.51"
"Jul 15, 2015","97.17","96.66","97.31","96.53","0","0.55"
"Jul 14, 2015","96.64","96.81","97.05","96.27","0","-0.23"
"Jul 13, 2015","96.86","96.09","96.86","95.63","0","0.86"
"Jul 10, 2015","96.03","96.38","96.39","95.45","0","-0.60"
"Jul 09, 2015","96.61","96.23","96.75","95.97","0","0.33"
"Jul 08, 2015","96.29","96.68","96.88","96.12","0","-0.59"
"Jul 07, 2015","96.86","96.28","97.23","96.31","0","0.58"
"Jul 06, 2015","96.30","96.42","96.62","96.02","0","0.20"
"Jul 03, 2015","96.11","96.09","96.22","95.87","0","0.00"
"Jul 02, 2015","96.11","96.32","96.42","95.87","0","-0.21"
"Jul 01, 2015","96.31","95.58","96.35","95.47","0","0.87"
"Jun 30, 2015","95.48","95.04","95.68","94.85","0","0.73"
"Jun 29, 2015","94.79","96.11","96.37","94.68","0","-0.71"
