"Date","Price","Open","High","Low","Vol.","Change"
"Mar 02, 2017","47288.66","47458.69","47513.90","46960.25","184.59M","-0.35"
"Mar 01, 2017","47454.15","46853.67","47564.35","46853.67","180.69M","1.27"
"Feb 28, 2017","46856.79","47352.45","47378.09","46692.47","260.12M","-1.04"
"Feb 27, 2017","47349.20","47040.95","47464.25","46859.57","186.76M","0.64"
"Feb 24, 2017","47047.67","47215.56","47215.56","46587.93","188.68M","-0.34"
"Feb 23, 2017","47206.36","47197.19","47482.61","46842.46","238.22M","0.02"
"Feb 22, 2017","47195.68","47614.69","47654.64","47194.58","176.39M","-0.88"
"Feb 21, 2017","47614.99","47089.12","47638.52","47089.12","214.10M","1.13"
"Feb 20, 2017","47083.81","47159.16","47612.29","47046.40","33.29M","-0.17"
"Feb 17, 2017","47164.71","47303.05","47386.17","47005.42","138.80M","-0.27"
"Feb 16, 2017","47293.85","47165.68","47444.27","47121.18","187.27M","0.28"
"Feb 15, 2017","47161.74","47392.44","47467.14","47059.68","197.14M","-0.48"
"Feb 14, 2017","47391.24","47650.24","47687.13","47279.43","181.71M","-0.57"
"Feb 13, 2017","47661.69","47798.38","47904.73","47391.48","179.42M","-0.28"
"Feb 10, 2017","47797.04","47222.94","48115.98","47123.03","190.94M","1.20"
"Feb 09, 2017","47232.17","46907.01","47461.60","46850.09","227.89M","0.66"
"Feb 08, 2017","46921.71","46767.22","46985.23","46639.21","216.44M","0.41"
"Feb 07, 2017","46728.95","47228.04","47258.29","46614.38","310.76M","-1.05"
"Feb 03, 2017","47225.10","47097.51","47228.65","46801.77","256.74M","0.28"
"Feb 02, 2017","47095.07","47019.85","47111.78","46909.31","212.00M","0.18"
"Feb 01, 2017","47009.51","47001.97","47225.23","46780.03","176.07M","0.02"
"Jan 31, 2017","47001.06","47131.23","47243.07","46928.48","221.91M","-0.19"
"Jan 30, 2017","47091.82","47611.44","47611.44","46761.50","162.26M","-0.69"
"Jan 27, 2017","47421.12","47632.58","47695.48","47192.03","148.80M","-0.40"
"Jan 26, 2017","47611.44","48280.47","48284.31","47372.48","194.37M","-1.38"
"Jan 25, 2017","48275.83","48152.63","48632.51","47870.87","223.35M","0.26"
"Jan 24, 2017","48149.61","47121.18","48220.04","47118.15","322.21M","2.19"
"Jan 23, 2017","47116.24","46325.07","47141.00","46170.87","157.62M","1.69"
"Jan 20, 2017","46331.60","46262.54","46396.22","46021.58","189.35M","0.14"
"Jan 19, 2017","46265.26","46360.83","46423.59","46059.31","161.85M","-0.21"
"Jan 18, 2017","46360.63","46006.60","46390.22","46006.60","232.69M","0.78"
"Jan 17, 2017","46002.56","45721.00","46159.01","45720.67","239.61M","0.57"
"Jan 16, 2017","45740.38","46184.13","46229.63","45714.59","32.01M","-0.96"
"Jan 13, 2017","46182.43","46070.69","46438.80","46039.78","197.63M","0.26"
"Jan 12, 2017","46060.98","45935.55","46265.15","45805.50","174.52M","0.28"
"Jan 11, 2017","45933.65","45886.18","46085.78","45550.10","177.04M","0.10"
"Jan 10, 2017","45886.27","45585.49","45924.51","45531.04","221.18M","0.73"
"Jan 09, 2017","45553.51","46072.38","46153.03","45314.58","171.81M","-1.12"
"Jan 06, 2017","46071.57","46721.70","46731.90","46027.10","207.60M","-1.39"
"Jan 05, 2017","46719.99","46586.03","46767.37","46285.88","244.63M","0.28"
"Jan 04, 2017","46587.74","46123.36","46587.74","46068.83","222.05M","1.01"
"Jan 03, 2017","46123.36","45698.93","46444.72","45690.46","170.04M","0.94"
"Jan 02, 2017","45695.10","45642.80","45792.46","45593.26","6.98M","0.11"
