"Date","Price","Open","High","Low","Vol.","Change"
"Feb 27, 2017","86.41","86.11","86.60","86.11","0","0.34"
"Feb 26, 2017","86.11","86.15","86.19","86.10","0","-0.03"
"Feb 24, 2017","86.14","86.25","86.43","86.09","0","-0.12"
"Feb 23, 2017","86.25","86.16","86.31","86.03","0","0.09"
"Feb 22, 2017","86.16","86.05","86.27","85.70","0","0.14"
"Feb 21, 2017","86.05","86.53","86.57","85.99","0","-0.56"
"Feb 20, 2017","86.53","86.64","86.67","86.51","0","-0.12"
"Feb 19, 2017","86.64","86.54","86.68","86.52","0","0.07"
"Feb 17, 2017","86.58","86.93","86.96","86.50","0","-0.42"
"Feb 16, 2017","86.94","86.59","86.99","86.55","0","0.40"
"Feb 15, 2017","86.59","86.44","86.61","86.17","0","0.18"
"Feb 14, 2017","86.43","86.47","86.71","86.33","0","-0.04"
"Feb 13, 2017","86.47","86.72","86.90","86.43","0","-0.28"
"Feb 12, 2017","86.72","86.76","86.80","86.71","0","-0.06"
"Feb 10, 2017","86.76","86.90","86.98","86.63","0","-0.16"
"Feb 09, 2017","86.90","86.94","87.05","86.81","0","-0.05"
"Feb 08, 2017","86.94","86.94","87.05","86.63","0","0.00"
"Feb 07, 2017","86.94","87.32","87.33","86.87","0","-0.43"
"Feb 06, 2017","87.32","87.64","87.65","87.10","0","-0.37"
"Feb 05, 2017","87.64","87.69","87.70","87.61","0","0.01"
"Feb 03, 2017","87.63","87.45","87.65","87.25","0","0.21"
"Feb 02, 2017","87.45","87.40","87.77","87.40","0","0.02"
"Feb 01, 2017","87.43","87.68","87.72","87.25","0","-0.29"
"Jan 31, 2017","87.68","87.19","87.70","87.04","0","0.57"
"Jan 30, 2017","87.19","87.32","87.45","86.67","0","-0.14"
"Jan 29, 2017","87.31","87.37","87.39","87.27","0","0.05"
"Jan 27, 2017","87.27","87.03","87.39","87.00","0","0.28"
"Jan 26, 2017","87.03","87.37","87.44","86.89","0","-0.39"
"Jan 25, 2017","87.37","87.40","87.52","87.26","0","-0.03"
"Jan 24, 2017","87.40","87.52","87.65","87.37","0","-0.14"
"Jan 23, 2017","87.52","87.43","87.63","87.32","0","0.10"
"Jan 22, 2017","87.43","87.44","87.50","87.39","0","-0.04"
"Jan 20, 2017","87.46","87.26","87.48","87.09","0","0.23"
"Jan 19, 2017","87.26","87.09","87.36","86.85","0","0.20"
"Jan 18, 2017","87.09","87.28","87.40","87.07","0","-0.21"
"Jan 17, 2017","87.27","87.04","87.58","87.03","0","0.27"
"Jan 16, 2017","87.04","87.23","87.28","86.88","0","-0.21"
"Jan 15, 2017","87.23","87.15","87.30","87.14","0","-0.02"
"Jan 13, 2017","87.25","87.10","87.42","87.07","0","0.17"
"Jan 12, 2017","87.10","86.99","87.40","86.87","0","0.12"
"Jan 11, 2017","86.99","86.85","87.09","86.34","0","0.16"
"Jan 10, 2017","86.85","87.08","87.36","86.84","0","-0.27"
"Jan 09, 2017","87.08","86.70","87.11","86.65","0","0.44"
"Jan 08, 2017","86.70","86.72","86.74","86.67","0","0.02"
"Jan 06, 2017","86.69","86.88","87.10","86.65","0","-0.23"
"Jan 05, 2017","86.88","86.41","86.94","86.26","0","0.55"
"Jan 04, 2017","86.41","85.94","86.43","85.80","0","0.53"
"Jan 03, 2017","85.95","86.21","86.41","85.53","0","-0.31"
"Jan 02, 2017","86.22","86.60","86.63","86.19","0","-0.44"
"Jan 01, 2017","86.60","86.67","86.71","86.56","0","0.01"
